GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SalernArteWebsite,singleton,ConPool,3,51,0,2,1,14,1,2,1,1
SalernArteWebsite,autenticazione.service,AutenticazioneServiceImpl,628,0,130,0,127,0,77,0,12,0
SalernArteWebsite,gestioneAcquisti.utils,JSONAggiungiAlCarrello,76,0,0,0,21,0,3,0,3,0
SalernArteWebsite,gestioneAcquisti.utils,JSONUpdateQuantitaCarrello,68,0,0,0,18,0,3,0,3,0
SalernArteWebsite,gestioneAcquisti.service,GestioneAcquistiServiceImpl,552,0,88,0,112,0,55,0,11,0
SalernArteWebsite,gestioneEventi.utils,JSONSuggerimentiRicerca,77,0,4,0,18,0,5,0,3,0
SalernArteWebsite,registrazione.controller,RegistrazioneController,205,0,16,0,51,0,13,0,5,0
SalernArteWebsite,autenticazione.controller,AutenticazioneController,148,0,22,0,39,0,16,0,5,0
SalernArteWebsite,autenticazione.controller,AreaUtenteController,287,0,36,0,67,0,23,0,5,0
SalernArteWebsite,gestioneEventi.controller,GestioneEventiController,651,3,76,0,140,1,42,1,4,1
SalernArteWebsite,gestioneEventi.service,GestioneEventiServiceImpl,373,358,60,55,91,63,56,27,17,8
SalernArteWebsite,utils,InitServlet,21,0,0,0,4,0,2,0,2,0
SalernArteWebsite,utils,HomePageServlet,30,0,0,0,10,0,3,0,3,0
SalernArteWebsite,model.entity,ScolarescaBean,48,0,0,0,12,0,6,0,6,0
SalernArteWebsite,model.entity,EventoBean,158,126,0,0,34,45,12,17,12,17
SalernArteWebsite,model.entity,UtenteRegistratoBean,67,81,1,1,11,25,6,9,5,9
SalernArteWebsite,model.entity,CarrelloBean,77,0,0,0,15,0,11,0,11,0
SalernArteWebsite,model.entity,OrganizzatoreBean,75,69,0,0,15,22,8,8,8,8
SalernArteWebsite,model.entity,BigliettoBean,51,22,0,0,10,11,5,6,5,6
SalernArteWebsite,model.entity,AcquistoBean,89,28,0,0,24,11,9,6,9,6
SalernArteWebsite,model.entity,CarrelloBean.BigliettoQuantita,43,0,0,0,15,0,9,0,9,0
SalernArteWebsite,model.entity,AmministratoreBean,68,0,0,0,17,0,8,0,8,0
SalernArteWebsite,model.entity,UtenteBean,73,31,0,0,17,10,7,5,7,5
SalernArteWebsite,registrazione.service,RegistrazioneServiceimpl,344,0,88,0,64,0,50,0,6,0
SalernArteWebsite,gestioneAcquisti.controller,GestioneAcquistiController,228,0,38,0,56,0,24,0,5,0
SalernArteWebsite,model.dao,BigliettoDAOImpl,98,516,10,24,28,152,10,19,0,12
SalernArteWebsite,model.dao,AcquistoDAOImpl,235,56,11,1,74,18,11,2,5,2
SalernArteWebsite,model.dao,AmministratoreDAOImpl,313,0,14,0,89,0,13,0,6,0
SalernArteWebsite,model.dao,UtenteRegistratoDAOImpl,143,75,8,2,45,26,8,3,3,3
SalernArteWebsite,model.dao,UtenteDAOImpl,313,54,12,2,84,15,11,2,4,2
SalernArteWebsite,model.dao,CarrelloDAOImpl,303,0,10,0,91,0,12,0,7,0
SalernArteWebsite,model.dao,ScolarescaDAOImpl,286,0,14,0,84,0,13,0,6,0
SalernArteWebsite,model.dao,OrganizzatoreDAOImpl,501,0,16,0,130,0,15,0,7,0
SalernArteWebsite,model.dao,EventoDAOImpl,88,1182,3,29,28,302,3,30,0,17
